Bar Pressure(Bar Pressure);Nitrogen Dioxide(NO2);PM 10(RSPM);PM 2.5(PM2.5);Solar Radiation(SR);Sulfur Dioxide(SO2);Temperature(TEMP);index
646.09;12.3;124.12;;;5.85;14.61;01/02/2010
732.95;27.28;70.62;;;5.05;23.87;01/03/2010
735.69;29.57;109.88;;;23.84;31.54;01/04/2010
734.58;15.93;61.12;;;6.36;30.12;01/05/2010
729.43;45.35;163.67;;;4.42;34.22;01/06/2010
727.86;42.95;218.0;;;8.59;;01/07/2010
729.86;32.12;42.12;;;;26.58;01/08/2010
730.87;30.26;76.11;;;4.9;28.84;01/09/2010
732.62;44.11;125.72;;;;26.08;01/10/2010
738.13;90.69;418.28;;;3.48;21.67;01/11/2010
737.55;76.57;249.77;;;5.0;24.74;01/12/2010
646.85;7.45;110.46;;;6.56;14.4;02/02/2010
732.92;1.78;75.11;;;5.02;22.83;02/03/2010
734.41;27.31;99.78;;;18.98;31.81;02/04/2010
733.63;30.37;53.98;;;3.91;29.01;02/05/2010
730.57;19.22;267.32;;;6.71;35.68;02/06/2010
728.96;28.58;120.58;;;7.74;;02/07/2010
728.9;29.42;48.86;;;;28.25;02/08/2010
731.53;24.29;63.44;;;5.19;28.31;02/09/2010
733.84;26.88;138.95;;;5.61;29.68;02/10/2010
738.7;85.71;348.37;;;3.4;21.34;02/11/2010
737.55;103.72;278.47;;;5.92;24.74;02/12/2010
647.7;6.27;84.63;;;3.41;14.03;03/02/2010
732.86;22.07;54.99;;;6.67;24.46;03/03/2010
735.16;22.98;82.2;;;17.64;29.33;03/04/2010
731.77;30.53;67.63;;;9.05;30.19;03/05/2010
731.06;13.83;336.09;;;2.2;32.73;03/06/2010
729.69;12.91;94.01;;;7.71;;03/07/2010
727.82;22.97;43.06;;;;28.49;03/08/2010
730.68;23.05;44.77;;;4.78;27.63;03/09/2010
734.77;36.56;412.99;;;6.67;32.46;03/10/2010
739.99;54.17;387.35;;;3.98;21.21;03/11/2010
737.55;87.37;316.05;;;4.7;24.74;03/12/2010
650.28;3.26;48.95;;;1.74;10.65;04/01/2010
