index;Nitrogen Dioxide(NO2);Bar Pressure(Bar Pressure);PM 10(RSPM);Temperature(TEMP);Sulfur Dioxide(SO2)
 01/01/2011;17.39;739.85;105.78;10.51;5.56
 01/02/2011;36.52;741.29;199.64;13.55;3.04
 01/03/2011;9.36;740.02;123.26;15.26;6.41
 01/04/2011;7.84;734.91;177.05;25.13;5.44
 01/05/2011;24.58;732.29;331.49;27.07;3.96
 01/06/2011;2.59;728.3;99.48;30.16;1.82
 01/07/2011;3.74;726.81;156.52;29.9;5.54
 01/08/2011;34.11;726.69;109.2;31.99;1.71
 01/09/2011;35.01;729.36;59.27;31.72;2.81
 01/10/2011;43.78;733.51;127.11;27.33;1.01
 01/11/2011;45.8;737.3;340.56;22.78;14.12
 01/12/2011;174.89;738.78;337.46;17.01;13.9
 02/01/2011;13.28;739.9;91.38;9.94;4.12
 02/02/2011;38.75;737.67;208.96;13.8;2.6
 02/03/2011;20.68;738.51;205.01;17.59;8.75
 02/04/2011;10.38;735.32;155.1;25.8;6.15
 02/06/2011;2.85;731.29;103.46;28.68;1.96
 02/07/2011;16.13;727.24;230.94;30.88;6.16
 02/08/2011;37.47;726.94;92.84;32.18;2.12
 02/09/2011;30.46;729.29;59.98;30.88;3.43
 02/10/2011;84.6;732.88;169.64;27.37;
 02/11/2011;36.2;736.66;255.31;22.67;12.35
 02/12/2011;277.81;738.53;455.26;18.62;12.41
 03/01/2011;22.94;741.76;138.5;9.98;6.37
 03/02/2011;44.81;740.91;208.16;16.08;3.98
 03/03/2011;27.18;738.39;136.9;17.39;5.69
 03/04/2011;3.17;736.54;92.71;24.04;6.71
 03/06/2011;7.43;731.53;156.47;31.46;2.4
 03/07/2011;30.78;727.8;136.61;31.5;5.65
 03/09/2011;26.25;729.15;46.85;29.13;3.49
 03/10/2011;59.23;733.24;131.69;27.55;
 03/11/2011;41.27;736.5;284.3;22.57;14.24
 03/12/2011;138.55;736.02;310.78;18.72;5.53
 04/01/2011;25.41;741.59;164.89;7.28;9.03
 04/02/2011;54.07;740.31;235.75;15.15;4.17
 04/03/2011;14.51;738.6;95.25;17.31;5.03
 04/04/2011;17.32;737.2;168.54;23.69;8.23
 04/06/2011;13.75;729.8;169.55;32.91;2.32
 04/07/2011;;729.32;186.77;32.15;5.48
 04/09/2011;25.04;729.92;40.44;27.17;4.59
 04/10/2011;51.27;734.06;125.42;27.71;
 04/11/2011;50.19;737.56;347.85;22.31;16.44
 04/12/2011;114.53;736.22;226.29;17.92;6.52
 05/01/2011;20.11;740.99;162.33;7.41;7.13
 05/02/2011;66.86;737.78;228.52;20.71;6.61
 05/03/2011;8.44;739.06;111.9;18.01;5.76
 05/04/2011;32.33;737.07;196.99;25.42;8.09
 05/05/2011;10.83;730.63;214.37;34.03;3.88
 05/06/2011;31.83;728.82;225.37;34.56;3.31
 05/07/2011;;729.72;220.39;31.71;5.7
 05/08/2011;24.85;722.88;58.69;29.6;5.31
 05/09/2011;50.99;730.22;41.38;26.9;4.55
