index;Nitrogen Dioxide(NO2);Bar Pressure(Bar Pressure);PM 10(RSPM);PM 2.5(PM2.5);Sulfur Dioxide(SO2);Temperature(TEMP)
 01/01/2015;83.95;755.07;783.27;;19.98;11.85
 01/02/2015;70.07;755.64;425.76;;16.6;13.52
 01/03/2015;33.94;753.45;59.52;;3.43;15.81
 01/04/2015;62.28;753.69;;98.39;48.58;20.94
 01/05/2015;54.73;752.15;;55.29;6.2;14.77
 01/06/2015;38.88;752.35;;26.0;2.86;32.62
 01/07/2015;29.69;758.69;;60.52;4.38;29.81
 01/08/2015;27.72;758.81;;49.94;4.16;26.55
 01/09/2015;19.57;760.94;;48.83;9.04;8.18
 01/10/2015;46.03;759.44;;;8.67;28.07
 01/11/2015;9.11;758.39;;292.87;4.48;21.52
 01/12/2015;31.48;759.14;;117.88;15.31;19.27
 02/01/2015;43.85;755.66;492.73;;13.0;12.17
 02/02/2015;44.24;755.52;190.14;;1.88;15.14
 02/03/2015;25.71;754.44;54.18;;5.45;15.42
 02/04/2015;39.44;751.18;;67.43;24.74;21.59
 02/05/2015;80.35;752.44;;64.25;8.74;14.45
 02/06/2015;36.61;753.93;;23.55;2.79;49.02
 02/07/2015;26.45;757.86;;73.56;4.02;34.25
 02/08/2015;24.31;759.85;;48.38;3.78;28.38
 02/09/2015;18.74;761.37;;48.63;6.59;7.64
 02/10/2015;;759.73;;;10.91;26.97
 02/11/2015;37.6;758.02;;204.38;3.19;23.97
 02/12/2015;24.21;758.47;;102.58;20.63;18.1
 03/01/2015;28.06;754.51;293.28;;2.71;12.55
 03/02/2015;30.17;754.69;170.16;;4.96;14.6
 03/03/2015;38.72;756.1;68.77;;7.56;14.38
 03/04/2015;26.1;751.25;;63.61;21.8;19.77
 03/05/2015;98.91;752.69;;84.88;14.57;21.39
 03/06/2015;45.52;754.48;;23.56;3.15;44.87
 03/07/2015;18.3;758.21;;66.62;3.12;31.71
 03/08/2015;21.55;759.13;;48.24;3.48;28.8
 03/09/2015;18.82;763.26;;48.74;4.61;5.36
 03/10/2015;;757.62;;;10.85;30.18
 03/11/2015;63.99;748.22;;172.77;13.04;26.46
 03/12/2015;19.66;758.54;;92.45;17.66;17.26
 04/01/2015;34.78;756.2;248.12;;10.6;11.64
 04/02/2015;31.05;759.15;185.1;;4.19;11.98
 04/03/2015;27.49;756.56;60.86;;4.61;13.34
 04/04/2015;31.97;751.65;;69.35;26.22;20.08
 04/05/2015;115.74;752.89;;101.76;19.34;27.24
 04/06/2015;44.02;754.72;;44.68;3.13;47.01
 04/07/2015;22.37;756.05;;107.9;3.57;34.13
 04/08/2015;25.25;758.23;;48.45;3.89;29.23
 04/09/2015;29.51;766.38;;50.26;40.41;7.87
 04/10/2015;;757.97;;;20.02;27.65
 04/11/2015;41.19;725.78;28.77;316.78;22.3;21.63
 04/12/2015;23.72;758.69;;104.46;21.92;17.03
 05/01/2015;35.78;754.39;187.96;;3.09;10.77
 05/02/2015;44.51;756.9;310.16;;3.3;12.19
 05/03/2015;65.4;759.67;98.73;;6.98;19.57
 05/04/2015;54.25;753.05;;100.66;50.33;20.85
 05/05/2015;124.57;752.89;;105.88;17.53;29.47
 05/06/2015;45.3;754.42;;56.5;5.07;49.8
 05/07/2015;19.78;754.64;;123.57;3.29;33.39
 05/08/2015;26.94;756.65;;48.94;4.07;27.71
 05/09/2015;27.43;765.76;;49.81;21.25;6.92
 05/10/2015;;758.34;;;18.75;28.47
 05/11/2015;30.93;687.39;;245.87;5.97;21.71
 05/12/2015;33.05;758.9;;122.3;30.35;17.29
 06/01/2015;40.53;753.69;209.06;;2.31;9.18
 06/02/2015;61.56;756.12;315.08;;8.89;16.5
 06/03/2015;30.33;760.42;64.51;;3.7;18.24
 06/04/2015;48.0;753.51;;116.27;52.97;22.19
 06/05/2015;88.72;753.5;;75.7;7.26;34.34
 06/06/2015;46.95;752.98;;63.2;9.77;50.69
 06/07/2015;29.64;755.25;;69.07;4.37;28.4
 06/08/2015;26.91;756.21;;48.99;4.07;28.23
 06/09/2015;26.24;764.97;;49.37;13.04;6.85
 06/10/2015;;758.0;;;10.18;28.23
 06/11/2015;32.94;708.62;;198.94;20.39;21.3
 06/12/2015;34.6;759.15;;125.6;31.82;18.24
 07/01/2015;40.81;753.9;272.33;;6.83;7.05
 07/02/2015;58.31;755.7;291.86;;11.15;15.03
 07/03/2015;31.11;754.77;60.6;;3.36;16.67
 07/04/2015;31.03;754.88;;66.53;7.07;20.68
 07/05/2015;64.85;754.49;;60.38;4.48;34.78
 07/06/2015;47.23;751.7;;62.34;10.32;52.65
 07/07/2015;21.92;756.05;;57.78;3.52;26.84
 07/08/2015;41.88;756.88;;50.8;5.72;27.49
 07/09/2015;26.27;764.63;;49.46;14.9;6.74
 07/10/2015;;758.27;;;7.25;28.25
 07/11/2015;48.54;671.45;;340.3;15.09;17.82
 07/12/2015;28.83;759.28;;112.9;21.59;18.11
 08/01/2015;40.13;755.65;231.54;;2.19;5.9
 08/03/2015;40.6;745.24;67.4;;3.96;12.95
 08/04/2015;40.52;756.23;;79.63;14.28;22.77
 08/05/2015;74.7;754.55;;74.22;5.9;34.27
 08/06/2015;98.64;751.66;;61.65;16.37;50.84
 08/07/2015;32.67;757.7;;71.79;4.7;31.73
 08/08/2015;32.14;758.13;;49.29;4.65;27.37
 08/09/2015;32.05;764.48;;49.99;12.36;7.25
 08/10/2015;;757.29;;;11.91;29.04
 08/11/2015;77.45;750.67;;126.2;8.48;16.33
 08/12/2015;35.18;759.0;;127.04;25.77;18.53
 09/01/2015;44.69;756.76;231.75;;4.31;6.75
 09/02/2015;45.54;757.14;208.14;;4.55;18.0
