index;Nitrogen Dioxide(NO2);PM 2.5(PM2.5);Solar Radiation(SR);Temperature(TEMP);Sulfur Dioxide(SO2)
 01/01/2016;12.47;346.92;;13.94;5.38
 01/02/2016;23.1;146.25;;15.05;6.22
 01/03/2016;34.01;197.94;;22.69;3.02
 01/04/2016;16.24;130.20;;29.08;9.74
 01/05/2016;28.72;99.67;;32.86;8.17
 01/06/2016;27.8;42.19;125.98;33.49;7.93
 01/07/2016;18.3;108.86;162.42;31.15;9.43
 01/08/2016;7.92;59.98;123.29;28.38;3.35
 01/09/2016;25.45;42.21;169.51;27.1;8.97
 01/10/2016;51.38;98.93;134.4;30.76;5.85
 01/11/2016;34.1;197.23;167.62;23.37;11.61
 01/12/2016;69.5;170.81;180.87;20.38;11.94
 02/01/2016;17.88;104.52;;14.58;5.9
 02/02/2016;27.2;153.95;;14.2;4.49
 02/03/2016;;;;21.64;
 02/04/2016;19.39;117.94;;30.35;10.05
 02/05/2016;18.94;108.51;;34.66;10.42
 02/06/2016;13.61;41.60;486.87;33.52;10.8
 02/07/2016;18.05;122.08;156.81;28.14;6.45
 02/08/2016;9.08;54.89;172.57;29.33;4.32
 02/09/2016;23.86;49.54;139.37;28.41;7.29
 02/10/2016;54.16;78.74;134.91;31.65;5.95
 02/11/2016;24.92;419.00;116.39;22.6;11.04
 02/12/2016;51.79;163.39;150.76;17.59;10.9
 03/01/2016;16.59;139.32;;13.76;5.24
 03/02/2016;26.5;147.83;;14.28;6.91
 03/04/2016;27.51;148.84;;31.67;13.44
 03/05/2016;16.11;87.73;;35.69;7.3
 03/06/2016;35.94;84.04;204.54;41.02;3.53
 03/07/2016;26.05;122.83;123.24;29.27;5.88
 03/08/2016;11.9;99.90;106.77;30.71;2.63
 03/09/2016;33.27;76.65;236.23;30.74;9.55
 03/10/2016;55.92;92.21;155.33;31.58;5.99
 03/11/2016;18.8;401.39;185.28;23.19;11.46
 03/12/2016;39.93;164.49;135.41;19.43;12.02
 04/01/2016;27.68;190.03;;15.13;5.29
 04/02/2016;30.24;147.35;;14.36;6.02
 04/04/2016;17.59;125.78;;31.2;10.98
 04/05/2016;20.59;95.85;;32.51;7.24
 04/06/2016;31.35;126.95;400.08;59.97;2.04
 04/07/2016;19.06;123.17;63.9;29.45;9.73
 04/08/2016;10.89;76.79;70.35;31.62;7.14
 04/09/2016;26.81;65.90;234.53;29.82;8.51
 04/10/2016;53.35;117.70;143.61;29.89;31.22
 04/11/2016;15.21;227.83;180.48;22.71;11.58
 04/12/2016;37.67;162.02;166.55;21.04;11.73
 05/01/2016;30.79;191.49;;18.22;5.82
 05/02/2016;38.61;179.67;;14.18;7.94
 05/04/2016;11.25;98.77;;30.21;7.78
 05/05/2016;14.35;89.87;;29.1;6.02
 05/07/2016;17.96;119.47;88.02;34.86;24.22
 05/08/2016;18.48;54.69;126.11;32.78;3.32
 05/09/2016;17.74;51.30;320.65;28.87;9.55
 05/10/2016;55.0;84.76;124.34;28.37;122.64
 05/11/2016;17.33;429.16;136.98;22.1;11.91
 05/12/2016;37.93;147.94;155.47;20.79;11.28
 06/01/2016;25.57;196.42;;17.97;7.67
 06/02/2016;38.6;202.87;;16.0;6.27
 06/04/2016;20.93;107.03;;29.67;10.5
 06/05/2016;19.23;67.92;;29.39;6.63
 06/07/2016;17.21;164.23;210.52;31.74;4.54
 06/08/2016;26.18;54.06;30.82;30.48;4.13
 06/10/2016;55.67;97.71;152.48;29.79;5.74
 06/11/2016;18.88;529.86;149.83;22.04;13.82
 06/12/2016;42.48;170.73;147.67;21.25;10.72
 07/01/2016;25.22;275.17;;17.52;5.58
 07/02/2016;30.57;153.46;;16.88;6.02
 07/03/2016;15.95;109.00;;24.48;2.54
 07/04/2016;17.98;118.25;;27.75;12.23
 07/05/2016;18.3;76.80;;32.39;7.7
 07/07/2016;12.19;138.74;242.66;32.84;3.92
 07/08/2016;8.28;40.28;490.54;34.18;5.92
 07/10/2016;48.73;114.39;177.53;29.99;3.97
 07/11/2016;40.61;391.20;148.53;22.38;14.55
 07/12/2016;39.25;205.17;139.09;20.02;10.22
 08/01/2016;15.03;172.51;;15.23;6.24
 08/02/2016;24.21;146.30;;15.32;5.19
 08/03/2016;17.96;106.90;;22.02;4.17
 08/04/2016;19.05;104.74;;28.02;13.03
 08/05/2016;17.47;82.47;;33.05;10.12
 08/07/2016;8.31;175.86;216.89;31.01;5.23
 08/09/2016;38.67;679.91;77.95;31.2;3.76
 08/10/2016;62.59;100.81;170.38;30.89;4.53
 08/11/2016;39.71;246.04;111.05;21.96;12.45
 08/12/2016;36.59;183.99;145.61;19.97;10.38
 09/01/2016;13.25;100.31;;14.7;6.59
 09/02/2016;23.74;176.26;;15.34;5.69
 09/03/2016;19.61;121.93;;21.92;6.57
 09/04/2016;23.86;129.63;;29.68;15.26
 09/05/2016;10.86;79.30;;31.96;5.92
 09/07/2016;7.07;104.90;218.32;31.61;5.29
 09/09/2016;38.61;326.16;209.66;29.9;3.11
 09/10/2016;46.29;117.18;150.48;29.81;
 09/11/2016;30.1;216.20;107.08;20.85;11.51
 09/12/2016;29.57;166.68;148.67;21.08;11.39
 10/01/2016;13.91;92.03;;14.98;7.83
 10/02/2016;23.57;179.20;;16.0;4.97
 10/03/2016;19.63;80.15;;23.11;8.68
 10/04/2016;14.99;126.19;;29.93;11.89
 10/05/2016;12.43;80.58;;33.81;4.76
 10/07/2016;7.85;128.80;220.32;32.29;5.68
 10/09/2016;34.76;51.90;223.39;30.08;6.02
 10/10/2016;23.1;111.03;132.07;29.83;1.46
 10/11/2016;35.53;179.41;103.27;21.37;10.26
 10/12/2016;29.78;137.08;139.78;20.85;11.65
 11/01/2016;20.04;152.36;;15.79;8.0
 11/02/2016;22.26;126.13;;18.78;4.31
 11/03/2016;26.82;82.94;;24.01;8.49
 11/04/2016;14.89;121.22;;31.11;21.11
 11/05/2016;12.58;93.10;;32.08;8.99
 11/07/2016;11.11;159.17;214.08;31.31;4.16
 11/08/2016;12.38;71.21;26.9;27.27;16.31
 11/09/2016;42.57;57.08;211.05;30.5;6.15
 11/10/2016;10.0;114.72;170.79;28.73;5.24
 11/11/2016;108.38;203.43;107.21;22.79;3.34
 11/12/2016;27.14;132.63;139.07;21.84;11.68
 12/01/2016;18.43;127.36;;17.33;4.82
 12/02/2016;23.83;148.97;;18.42;4.22
 12/03/2016;15.17;60.06;;22.94;8.5
 12/04/2016;11.69;109.86;;28.03;12.25
 12/05/2016;18.57;183.81;;34.07;11.15
 12/07/2016;13.37;65.17;78.54;28.89;6.05
 12/08/2016;9.68;51.17;84.56;28.06;4.66
 12/09/2016;36.58;60.09;223.05;29.68;7.09
 12/10/2016;27.92;101.82;166.83;29.37;8.04
 12/11/2016;82.61;191.91;90.99;20.02;
 12/12/2016;21.8;162.40;150.62;21.89;12.19
 13/01/2016;15.54;152.10;;16.82;6.14
 13/02/2016;17.65;115.17;;16.85;1.89
 13/03/2016;10.47;59.36;;22.95;6.84
 13/04/2016;16.86;101.04;;29.88;14.56
 13/05/2016;16.06;116.87;;35.13;13.18
 13/07/2016;13.53;1,033.76;216.85;30.13;5.66
 13/08/2016;16.94;49.51;215.5;30.46;4.48
 13/09/2016;36.52;61.34;218.14;30.19;7.01
 13/10/2016;18.12;100.47;175.31;28.78;10.69
 13/12/2016;21.12;164.00;134.96;21.99;12.71
 14/01/2016;9.43;115.68;;14.53;5.95
 14/02/2016;;;;12.96;
 14/03/2016;16.16;68.75;;21.84;13.0
 14/04/2016;18.9;142.39;;30.95;16.95
 14/05/2016;18.28;99.55;;34.97;7.83
 14/07/2016;20.13;78.46;235.08;29.41;5.0
 14/09/2016;37.64;60.94;147.68;29.6;5.96
 14/10/2016;18.81;101.46;162.42;29.03;6.21
 14/11/2016;42.54;150.85;104.43;25.18;6.94
 14/12/2016;21.04;118.81;145.38;20.07;9.79
 15/01/2016;9.45;246.80;;12.38;4.6
 15/02/2016;19.75;131.26;;18.67;2.09
 15/03/2016;19.03;63.14;;21.86;13.74
 15/04/2016;24.44;130.99;;31.9;19.23
