index;Nitrogen Dioxide(NO2);PM 2.5(PM2.5);Solar Radiation(SR);Temperature(TEMP);Sulfur Dioxide(SO2)
 01/02/2017;27.88;137.15;204.51;16.81;5.33
 01/03/2017;43.61;122.76;184.22;26.93;12.99
 01/04/2017;27.70;;195.54;34.58;5.95
 01/05/2017;29.19;104.63;266.06;33.92;3.94
 01/06/2017;32.03;98.50;184.36;34.07;7.34
 01/07/2017;32.28;48.93;209.66;28.83;15.62
 01/08/2017;9.19;38.86;71.46;33.99;9.89
 01/09/2017;23.59;45.75;131.51;32.06;7.50
 01/10/2017;43.40;100.89;99.49;32.16;NA
 01/11/2017;49.27;173.11;63.48;28.11;9.92
 01/12/2017;43.90;203.85;41.07;22.34;9.61
 02/02/2017;32.45;144.50;210.49;17.69;6.14
 02/03/2017;35.11;101.60;158.39;24.36;6.18
 02/04/2017;25.69;;231.66;33.83;6.04
 02/05/2017;39.54;152.29;235.27;35.18;3.79
 02/06/2017;29.75;144.50;201.86;36.25;8.42
 02/07/2017;34.60;49.44;127.68;54.12;10.96
 02/08/2017;16.96;56.54;29.63;32.85;11.89
 02/09/2017;22.12;44.16;88.15;33.83;7.02
 02/10/2017;37.86;109.77;102.09;32.34;NA
 02/11/2017;45.51;145.09;58.84;26.29;6.76
 02/12/2017;43.14;191.71;81.79;22.00;10.55
 03/02/2017;30.88;133.91;202.38;19.83;6.38
 03/03/2017;23.67;80.59;201.37;22.87;4.28
 03/04/2017;26.79;;225.21;34.47;8.77
 03/05/2017;29.49;149.06;139.38;35.28;5.71
 03/06/2017;40.12;142.70;226.53;38.77;8.25
 03/07/2017;34.35;65.31;185.82;35.89;15.25
 03/08/2017;19.44;61.60;120.45;35.21;13.59
 03/09/2017;19.49;46.18;125.92;32.17;7.69
 03/10/2017;31.14;121.36;90.92;31.72;5.72
 03/11/2017;45.55;162.16;72.26;26.13;15.22
 03/12/2017;50.16;266.02;78.11;21.96;14.30
 04/02/2017;29.73;115.28;159.13;21.38;5.56
 04/03/2017;30.55;87.63;104.50;23.03;12.85
 04/04/2017;24.78;;175.36;33.50;8.51
 04/05/2017;22.87;122.65;225.32;34.71;4.93
 04/06/2017;41.78;178.32;204.80;40.83;6.71
 04/07/2017;36.92;98.57;141.36;35.32;10.05
 04/08/2017;21.66;78.97;146.31;35.90;9.24
 04/09/2017;21.88;52.86;119.88;32.57;7.95
 04/10/2017;34.25;95.25;94.81;32.44;9.94
 04/11/2017;43.18;167.91;76.08;25.78;12.93
 04/12/2017;49.13;287.48;81.54;22.24;8.76
 05/02/2017;35.55;96.13;143.92;23.74;6.43
 05/03/2017;36.45;82.17;202.59;24.24;19.87
 05/04/2017;23.48;;263.19;31.06;6.77
 05/05/2017;26.41;125.86;233.75;35.62;8.19
 05/06/2017;24.48;142.25;182.55;41.12;4.98
 05/07/2017;20.95;105.56;109.66;29.16;6.14
 05/08/2017;28.77;89.87;140.07;34.67;10.24
 05/09/2017;20.62;59.74;118.70;32.40;13.19
 05/10/2017;32.29;110.90;93.89;32.84;12.19
 05/11/2017;43.98;211.29;81.80;25.76;13.47
 05/12/2017;40.44;229.15;51.30;23.37;8.77
 06/02/2017;35.57;122.57;179.26;23.36;4.58
 06/03/2017;40.30;78.65;186.44;23.32;20.62
 06/04/2017;24.22;;265.54;33.40;6.06
 06/05/2017;29.86;100.80;232.41;36.94;8.43
 06/06/2017;22.56;135.42;188.04;39.54;9.81
 06/07/2017;17.32;92.99;91.12;35.56;3.00
