YEAR RPS Tdeath fw tw ar bs tx gv tv pop
2001 3231 45034 968894 2265955 86985 47578 20628 161650 3551690 1573200
2002 3812 44965 1214693 2517788 49538 18731 9936 129723 3940409 1630960
2003 3672 48473 1314672 2665750 52905 21962 11495 135671 4202455 1688720
2004 2288 48559 1431638 2844004 53656 24235 13511 140982 4508026 1747480
2005 2769 56390 1466641 3062536 73644 43500 20963 141996 4809010 1867000
2006 2316 60254 1589872 3299838 74189 46581 24958 149972 5185410 1932300
2007 2465 59256 1729695 3578199 75297 52763 30704 160726 5627384 1997600
2008 2696 57122 1859370 3797943 83948 55148 40072 175250 6011731 2062900
2009 3115 68373 2013680 4055229 86482 58047 45240 193205 6451883 2128200
2010 3746 76373 2173323 4342403 88181 61471 57958 209370 6932706 2193500
2011 3942 68326 2343113 4644146 88197 64033 69780 228886 7438155 2268860
2012 4215 67856 2474087 4962507 86838 39694 70335 140942 7774403 2344220
2013 4655 68135 2629343 5297697 91840 40947 78686 154654 8293167 2419580
2014 5282 74592 2790566 5681625 81633 32540 79606 161821 8827431 2494940
2015 6239 78067 2986579 6104070 198137 43723 91073 281159 9704741 2570300
